,Entity,EntityName,EntityType,EntityLabel,EntityLabel (Short),EntityLabel (Extended),use_in_alignment
40,obo.DOID_0050105,DOID_0050105,class,EndothrixInfectiousDisease,endothrix infectious disease,disease endothrix infectious,True
41,obo.DOID_0050116,DOID_0050116,class,TineaImbricata,tinea imbricata,imbricata tinea,True
42,obo.DOID_12179,DOID_12179,class,TineaCorporis,tinea corporis,body corporis dermatophytosis tinea,True
43,obo.DOID_0050117,DOID_0050117,class,DiseaseByInfectiousAgent,disease by infectious agent,agent disease infectious,True
44,obo.DOID_0050118,DOID_0050118,class,LaCrosseEncephalitis,la crosse encephalitis,california crosse encephalitis la virus,True
45,obo.DOID_0050120,DOID_0050120,class,HemophagocyticLymphohistiocytosis,hemophagocytic lymphohistiocytosis,haemophagocytic hemophagocytic hp lymphohistiocytosis syndrome,True
46,obo.DOID_75,DOID_75,class,LymphaticSystemDisease,lymphatic system disease,disease lymphatic lympoid system,True
47,obo.DOID_0050125,DOID_0050125,class,DengueShockSyndrome,dengue shock syndrome,dengue ds shock syndrome,True
48,obo.DOID_12205,DOID_12205,class,DengueDisease,dengue disease,classic dengue disease,True
49,obo.DOID_0050127,DOID_0050127,class,Sinusitis,sinusitis,sinusitis,True
50,obo.DOID_1352,DOID_1352,class,ParanasalSinusDisease,paranasal sinus disease,disease paranasal sinus,True
51,obo.DOID_0050129,DOID_0050129,class,SecretoryDiarrhea,secretory diarrhea,diarrhea secretory,True
52,obo.DOID_13250,DOID_13250,class,Diarrhea,diarrhea,diarrhea,True
53,obo.DOID_0050130,DOID_0050130,class,OsmoticDiarrhea,osmotic diarrhea,diarrhea osmotic,True
54,obo.DOID_0050131,DOID_0050131,class,Motility-relatedDiarrhea,motility-related diarrhea,diarrhea motility-related,True
55,obo.DOID_0050132,DOID_0050132,class,InflammatoryDiarrhea,inflammatory diarrhea,diarrhea inflammatory,True
56,obo.DOID_0050133,DOID_0050133,class,SuperficialMycosis,superficial mycosis,mycosis piedra superficial,True
57,obo.DOID_1564,DOID_1564,class,FungalInfectiousDisease,fungal infectious disease,disease fungal infectious mycosis,True
58,obo.DOID_0050134,DOID_0050134,class,CutaneousMycosis,cutaneous mycosis,cutaneous mycosis,True
59,obo.DOID_0050135,DOID_0050135,class,SubcutaneousMycosis,subcutaneous mycosis,mycosis subcutaneous,True
60,obo.DOID_0050136,DOID_0050136,class,SystemicMycosis,systemic mycosis,mycosis systemic,True
61,obo.DOID_0050138,DOID_0050138,class,Podoconiosis,podoconiosis,podoconiosis,True
62,obo.DOID_4976,DOID_4976,class,Elephantiasis,elephantiasis,elephantiasis,True
63,obo.DOID_0050140,DOID_0050140,class,AcuteDiarrhea,acute diarrhea,acute diarrhea,True
64,obo.DOID_0050141,DOID_0050141,class,IntestinalBotulism,intestinal botulism,botulism intestinal,True
65,obo.DOID_11976,DOID_11976,class,Botulism,botulism,botulism poison,True
66,obo.DOID_0050143,DOID_0050143,class,AsymptomaticDengue,asymptomatic dengue,asymptomatic dengue,True
67,obo.DOID_0050144,DOID_0050144,class,KartagenerSyndrome,kartagener syndrome,kartagener syndrome,True
68,obo.DOID_9562,DOID_9562,class,PrimaryCiliaryDyskinesia,primary ciliary dyskinesia,ciliary disorder dyskinesia immotile motility primary syndrome,True
69,obo.DOID_0050145,DOID_0050145,class,Adenoiditis,adenoiditis,adenoiditis chronic,True
70,obo.DOID_974,DOID_974,class,UpperRespiratoryTractDisease,upper respiratory tract disease,disease respiratory tract upper,True
71,obo.DOID_0050147,DOID_0050147,class,Otomycosis,otomycosis,ear otomycosis singapore,True
72,obo.DOID_9463,DOID_9463,class,OtitisExterna,otitis externa,ear externa otitis swimmer,True
73,obo.DOID_0050148,DOID_0050148,class,Laryngotracheitis,laryngotracheitis,laryngotracheitis,True
74,obo.DOID_0050150,DOID_0050150,class,PontiacFever,pontiac fever,fever pontiac,True
75,obo.DOID_10458,DOID_10458,class,Legionellosis,legionellosis,legionellosis,True
76,obo.DOID_0050152,DOID_0050152,class,AspirationPneumonia,aspiration pneumonia,aspiration pneumonia,True
77,obo.DOID_874,DOID_874,class,BacterialPneumonia,bacterial pneumonia,bacterial gram-negative pneumonia,True
78,obo.DOID_0050153,DOID_0050153,class,PulmonaryAspergilloma,pulmonary aspergilloma,aspergilloma pulmonary,True
79,obo.DOID_0050155,DOID_0050155,class,SensorySystemDisease,sensory system disease,disease sensory system,True
80,obo.DOID_863,DOID_863,class,NervousSystemDisease,nervous system disease,disease nervous system,True
81,obo.DOID_0050156,DOID_0050156,class,IdiopathicPulmonaryFibrosis,idiopathic pulmonary fibrosis,alveolitis cryptogenic dysplasia familial fibrocystic fibrosing fibrosis idiopathic pulmonary,True
82,obo.DOID_2797,DOID_2797,class,IdiopathicInterstitialPneumonia,idiopathic interstitial pneumonia,idiopathic interstitial pneumonia,True
83,obo.DOID_0050157,DOID_0050157,class,CryptogenicOrganizingPneumonia,cryptogenic organizing pneumonia,boop bronchiolitis cryptogenic idiopathic obliterans organize pneumonia pneumonitis,True
84,obo.DOID_0050158,DOID_0050158,class,DesquamativeInterstitialPneumonia,desquamative interstitial pneumonia,bronchiolitis-associated desquamative disease familial interstitial lung pneumonia pneumonitis rbild respiratory,True
85,obo.DOID_0050159,DOID_0050159,class,LymphoidInterstitialPneumonia,lymphoid interstitial pneumonia,interstitial lymphoid pneumonia,True
86,obo.DOID_0050160,DOID_0050160,class,InhalationAnthrax,inhalation anthrax,anthrax disease inhalation pulmonary wool-sorters woolsorter,True
87,obo.DOID_7427,DOID_7427,class,AnthraxDisease,anthrax disease,anthrax disease,True
88,obo.DOID_0050161,DOID_0050161,class,LowerRespiratoryTractDisease,lower respiratory tract disease,disease low respiratory tract,True
89,obo.DOID_1579,DOID_1579,class,RespiratorySystemDisease,respiratory system disease,disease respiratory system,True
90,obo.DOID_0050166,DOID_0050166,class,TuberculousSalpingitis,tuberculous salpingitis,salpingitis tuberculous,True
91,obo.DOID_2149,DOID_2149,class,UrogenitalTuberculosis,urogenital tuberculosis,tuberculosis urogenital,True
92,obo.DOID_0050167,DOID_0050167,class,AutoimmunePolyendocrineSyndromeType1,autoimmune polyendocrine syndrome type1,autoimmune dystrophy polyendocrine polyendocrinopathy-candidiasis-ectodermal polyglandular syndrom syndrome type whitaker,True
93,obo.DOID_14040,DOID_14040,class,AutoimmunePolyendocrineSyndrome,autoimmune polyendocrine syndrome,autoimmune polyendocrine polyendocrinopathy syndrome,True
94,obo.DOID_0050168,DOID_0050168,class,AutoimmunePolyendocrineSyndromeType2,autoimmune polyendocrine syndrome type2,autoimmune polyendocrine schmidt syndrome type,True
95,obo.DOID_0050169,DOID_0050169,class,CutaneousLupusErythematosus,cutaneous lupus erythematosus,cutaneous erythematosus lupus,True
96,obo.DOID_8857,DOID_8857,class,LupusErythematosus,lupus erythematosus,erythematosus lupus,True
97,obo.DOID_0050174,DOID_0050174,class,KunjinEncephalitis,kunjin encephalitis,encephalitis kunjin,True
98,obo.DOID_2365,DOID_2365,class,WestNileEncephalitis,west nile encephalitis,encephalitis nile west,True
99,obo.DOID_0050175,DOID_0050175,class,Tick-borneEncephalitis,tick-borne encephalitis,central eastern encephalitis european far russian siberian spring-summer tbe tick-borne west-siberian,True
100,obo.DOID_0050177,DOID_0050177,class,MonogenicDisease,monogenic disease,disease monogenic,True
101,obo.DOID_630,DOID_630,class,GeneticDisease,genetic disease,disease genetic,True
102,obo.DOID_0050179,DOID_0050179,class,PowassanEncephalitis,powassan encephalitis,encephalitis powassan,True
103,obo.DOID_0050185,DOID_0050185,class,ErythemaMultiforme,erythema multiforme,erythema multiforme,True
104,obo.DOID_37,DOID_37,class,SkinDisease,skin disease,disease skin subcutaneous tissue,True
105,obo.DOID_0050194,DOID_0050194,class,ArgentineHemorrhagicFever,argentine hemorrhagic fever,argentine fever hemorrhagic,True
106,obo.DOID_0050195,DOID_0050195,class,BolivianHemorrhagicFever,bolivian hemorrhagic fever,bolivian fever hemorrhagic,True
107,obo.DOID_0050196,DOID_0050196,class,VenezuelanHemorrhagicFever,venezuelan hemorrhagic fever,fever hemorrhagic venezuelan,True
108,obo.DOID_0050197,DOID_0050197,class,BrazilianHemorrhagicFever,brazilian hemorrhagic fever,brazilian fever hemorrhagic,True
109,obo.DOID_0050198,DOID_0050198,class,ChapareHemorrhagicFever,chapare hemorrhagic fever,chapare fever hemorrhagic,True
110,obo.DOID_0050199,DOID_0050199,class,WhitewaterArroyoHemorrhagicFever,whitewater arroyo hemorrhagic fever,arroyo fever hemorrhagic whitewater,True
111,obo.DOID_0050200,DOID_0050200,class,KoreanHemorrhagicFever,korean hemorrhagic fever,fever hemorrhagic korean,True
112,obo.DOID_11266,DOID_11266,class,HemorrhagicFeverWithRenalSyndrome,hemorrhagic fever with renal syndrome,fever hemorrhagic hfrs renal syndrome,True
113,obo.DOID_0050201,DOID_0050201,class,NephropathiaEpidemica,nephropathia epidemica,epidemica nephropathia,True
114,obo.DOID_0050202,DOID_0050202,class,LujoHemorrhagicFever,lujo hemorrhagic fever,fever hemorrhagic lujo,True
115,obo.DOID_0050204,DOID_0050204,class,Epstein-barrVirusHepatitis,epstein-barr virus hepatitis,epstein-barr hepatitis virus,True
116,obo.DOID_1884,DOID_1884,class,ViralHepatitis,viral hepatitis,coma hepatic hepatitis human viral,True
117,obo.DOID_0050211,DOID_0050211,class,SwineInfluenza,swine influenza,influenza swine,True
118,obo.DOID_8469,DOID_8469,class,Influenza,influenza,flu influenza manifestation non-respiratory,True
119,obo.DOID_0050214,DOID_0050214,class,Lambert-eatonMyasthenicSyndrome,lambert-eaton myasthenic syndrome,lambert-eaton lem myasthenic syndrome,True
120,obo.DOID_439,DOID_439,class,NeuromuscularJunctionDisease,neuromuscular junction disease,disease junction neuromuscular,True
121,obo.DOID_0050218,DOID_0050218,class,PolycysticEchinococcosis,polycystic echinococcosis,disease echinococcosis human hydatid neotropical polycystic,True
122,obo.DOID_1496,DOID_1496,class,Echinococcosis,echinococcosis,disease echinococcal echinococcosis hydatid hydatidosis pulmonary,True
123,obo.DOID_0050222,DOID_0050222,class,SelectiveIgmDeficiencyDisease,selective igm deficiency disease,deficiency disease igm selective,True
124,obo.DOID_11702,DOID_11702,class,Dysgammaglobulinemia,dysgammaglobulinemia,dysgammaglobulinemia,True
125,obo.DOID_0050242,DOID_0050242,class,PrimaryAmebicMeningoencephalitis,primary amebic meningoencephalitis,amebic fowleri infection meningoencephalitis naegleria primary,True
126,obo.DOID_2789,DOID_2789,class,ParasiticProtozoaInfectiousDisease,parasitic protozoa infectious disease,disease infectious mastigophora parasitic protozoa sarcomastigophora,True
127,obo.DOID_0050246,DOID_0050246,class,GranulomatousAmebicEncephalitis,granulomatous amebic encephalitis,acanthamoeba amebic amoebic due encephalitis granulomatous,True
128,obo.DOID_0050250,DOID_0050250,class,Philophthalmiasis,philophthalmiasis,philophthalmiasis,True
129,obo.DOID_883,DOID_883,class,ParasiticHelminthiasisInfectiousDisease,parasitic helminthiasis infectious disease,disease helminth helminthiasis helminthosis infection infectious parasitic worm,True
130,obo.DOID_0050251,DOID_0050251,class,Coenurosis,coenurosis,coenurosis,True
131,obo.DOID_0050253,DOID_0050253,class,Mesocestoidiasis,mesocestoidiasis,mesocestoidiasis,True
132,obo.DOID_0050254,DOID_0050254,class,Acanthocephaliasis,acanthocephaliasis,acanthocephaliasis,True
133,obo.DOID_0050256,DOID_0050256,class,Angiostrongyliasis,angiostrongyliasis,angiostrongyliasis,True
134,obo.DOID_0050259,DOID_0050259,class,Baylisascariasis,baylisascariasis,baylisascariasis,True
135,obo.DOID_0050260,DOID_0050260,class,Dioctophymiasis,dioctophymiasis,dioctophymiasis,True
136,obo.DOID_0050261,DOID_0050261,class,Thelaziasis,thelaziasis,thelaziasis,True
137,obo.DOID_0050266,DOID_0050266,class,Tungiasis,tungiasis,tungiasis,True
138,obo.DOID_4110,DOID_4110,class,ParasiticEctoparasiticInfectiousDisease,parasitic ectoparasitic infectious disease,disease ectoparasitic infectious parasitic,True
139,obo.DOID_0050268,DOID_0050268,class,Ophthalmomyiasis,ophthalmomyiasis,ophthalmomyiasis,True
140,obo.DOID_11080,DOID_11080,class,Myiasis,myiasis,myiasis,True
141,obo.DOID_0050278,DOID_0050278,class,Basidiobolomycosis,basidiobolomycosis,basidiobolomycosis,True
142,obo.DOID_0050279,DOID_0050279,class,Conidiobolomycosis,conidiobolomycosis,conidiobolomycosis,True
143,obo.DOID_0050288,DOID_0050288,class,Penicilliosis,penicilliosis,penicilliosis,True
144,obo.DOID_2473,DOID_2473,class,OpportunisticMycosis,opportunistic mycosis,mycoses mycosis opportunistic systemic,True
145,obo.DOID_0050289,DOID_0050289,class,Fusariosis,fusariosis,fusariosis,True
146,obo.DOID_0050290,DOID_0050290,class,Trichosporonosis,trichosporonosis,trichosporonosis,True
147,obo.DOID_0050291,DOID_0050291,class,ParasiticIchthyosporeaInfectiousDisease,parasitic ichthyosporea infectious disease,disease ichthyosporea infectious parasitic,True
148,obo.DOID_1398,DOID_1398,class,ParasiticInfectiousDisease,parasitic infectious disease,disease infectious parasitemia parasitic,True
149,obo.DOID_0050304,DOID_0050304,class,Aniseikonia,aniseikonia,aniseikonia,True
150,obo.DOID_9835,DOID_9835,class,RefractiveError,refractive error,error refractive,True
151,obo.DOID_0050308,DOID_0050308,class,AlkhurmaHemorrhagicFever,alkhurma hemorrhagic fever,alkhurma fever hemorrhagic,True
152,obo.DOID_11320,DOID_11320,class,KyasanurForestDisease,kyasanur forest disease,disease forest kyasanur,True
153,obo.DOID_0050328,DOID_0050328,class,CongenitalHypothyroidism,congenital hypothyroidism,congenital hypothyroidism,True
154,obo.DOID_1459,DOID_1459,class,Hypothyroidism,hypothyroidism,hypothyroidism,True
155,obo.DOID_0050331,DOID_0050331,class,LaddSyndrome,ladd syndrome,lacrimoauriculodentodigital ladd levy-hollister syndrome,True
156,obo.DOID_0050736,DOID_0050736,class,AutosomalDominantDisease,autosomal dominant disease,autosomal disease dominant,True
157,obo.DOID_0050332,DOID_0050332,class,EnlargedVestibularAqueduct,enlarged vestibular aqueduct,aqueduct enlarge vestibular,True
158,obo.DOID_3426,DOID_3426,class,VestibularDisease,vestibular disease,disease vestibular,True
159,obo.DOID_0050335,DOID_0050335,class,Bradyopsia,bradyopsia,bradyopsia electroretinal prolonged response suppression,True
160,obo.DOID_5679,DOID_5679,class,RetinalDisease,retinal disease,disease retinal,True
161,obo.DOID_0050336,DOID_0050336,class,Hypophosphatemia,hypophosphatemia,hypophosphatemia,True
162,obo.DOID_2485,DOID_2485,class,PhosphorusMetabolismDisease,phosphorus metabolism disease,disease metabolism phosphorus,True
163,obo.DOID_104,DOID_104,class,BacterialInfectiousDisease,bacterial infectious disease,bacterial disease infectious,True
164,obo.DOID_0050339,DOID_0050339,class,CommensalBacterialInfectiousDisease,commensal bacterial infectious disease,bacterial commensal disease infectious,True
165,obo.DOID_0050340,DOID_0050340,class,OpportunisticBacterialInfectiousDisease,opportunistic bacterial infectious disease,bacterial disease infectious opportunistic,True
166,obo.DOID_0050352,DOID_0050352,class,FoodborneBotulism,foodborne botulism,botulism foodborne,True
167,obo.DOID_0050353,DOID_0050353,class,WoundBotulism,wound botulism,botulism wound,True
168,obo.DOID_0050354,DOID_0050354,class,InfantBotulism,infant botulism,botulism infant,True
169,obo.DOID_0050382,DOID_0050382,class,GlandularTularemia,glandular tularemia,glandular tularemia,True
170,obo.DOID_2123,DOID_2123,class,Tularemia,tularemia,tularemia,True
171,obo.DOID_0050383,DOID_0050383,class,TyphoidalTularemia,typhoidal tularemia,tularemia typhoidal,True
172,obo.DOID_0050387,DOID_0050387,class,NonpapillaryRenalCellCarcinoma,nonpapillary renal cell carcinoma,carcinoma cell nonpapillary renal,True
173,obo.DOID_4455,DOID_4455,class,HereditaryRenalCellCarcinoma,hereditary renal cell carcinoma,carcinoma cell hereditary renal,True
174,obo.DOID_0050398,DOID_0050398,class,"""carrionsDisease""","""carrions disease""",carrion disease fever oroya,True
175,obo.DOID_11102,DOID_11102,class,Bartonellosis,bartonellosis,bartonella bartonellosis disease infectious,True
176,obo.DOID_0050419,DOID_0050419,class,ComplementFactorIDeficiency,complement factor i deficiency,complement component deficiency factor inactivator,True
177,obo.DOID_626,DOID_626,class,ComplementDeficiency,complement deficiency,complement deficiency,True
178,obo.DOID_0050424,DOID_0050424,class,FamilialAdenomatousPolyposis,familial adenomatous polyposis,adenomatous colon familial polyposis,True
179,obo.DOID_0050425,DOID_0050425,class,RestlessLegsSyndrome,restless legs syndrome,disease legs restless syndrome wed willis-ekbom wittmaack-ekbom,True
180,obo.DOID_331,DOID_331,class,CentralNervousSystemDisease,central nervous system disease,central disease nervous system,True
181,obo.DOID_0050426,DOID_0050426,class,Stevens-johnsonSyndrome,stevens-johnson syndrome,stevens-johnson syndrome,True
182,obo.DOID_0050427,DOID_0050427,class,XerodermaPigmentosum,xeroderma pigmentosum,pigmentosum xeroderma,True
183,obo.DOID_0050737,DOID_0050737,class,AutosomalRecessiveDisease,autosomal recessive disease,autosomal disease recessive,True
184,obo.DOID_0050428,DOID_0050428,class,NonepidermolyticPalmoplantarKeratoderma,nonepidermolytic palmoplantar keratoderma,diffuse keratoderma nonepidermolytic palmomplantar palmoplantar syndrome thost-unna tylosis unna-thost,True
185,obo.DOID_3390,DOID_3390,class,PalmoplantarKeratosis,palmoplantar keratosis,keratosis palmoplantar,True
186,obo.DOID_0050429,DOID_0050429,class,Hailey-haileyDisease,hailey-hailey disease,benign chronic disease familial hailey-hailey pemphigus,True
187,obo.DOID_9182,DOID_9182,class,Pemphigus,pemphigus,pemphigus,True
188,obo.DOID_0050430,DOID_0050430,class,MultipleEndocrineNeoplasiaType2a,multiple endocrine neoplasia type2a,2a endocrine ii men2a multiple neoplasia sipple syndrome type,True
189,obo.DOID_0050431,DOID_0050431,class,ArrhythmogenicRightVentricularCardiomyopathy,arrhythmogenic right ventricular cardiomyopathy,arrhythmogenic arvc arvd cardiomyopathy dysplasia right ventricular,True
190,obo.DOID_0060036,DOID_0060036,class,IntrinsicCardiomyopathy,intrinsic cardiomyopathy,cardiomyopathy intrinsic,True
191,obo.DOID_0050432,DOID_0050432,class,AspergerSyndrome,asperger syndrome,asperger syndrome,True
192,obo.DOID_0060041,DOID_0060041,class,AutismSpectrumDisorder,autism spectrum disorder,autism disorder spectrum,True
193,obo.DOID_0050433,DOID_0050433,class,FatalFamilialInsomnia,fatal familial insomnia,familial fatal insomnia,True
194,obo.DOID_649,DOID_649,class,PrionDisease,prion disease,disease encephalopathy prion spongiform transmissible,True
195,obo.DOID_0050434,DOID_0050434,class,Andersen-tawilSyndrome,andersen-tawil syndrome,andersen andersen-tawil at cardiodysrhythmic long lqt7 paralysis periodic potassium-sensitive qt syndrome type,True
196,obo.DOID_2843,DOID_2843,class,LongQtSyndrome,long qt syndrome,long qt romano-ward syndrome,True
197,obo.DOID_0050436,DOID_0050436,class,MulibreyNanism,mulibrey nanism,constriction failure growth mulibrey muscle-liver-brain-eye nanism perheentupa pericardial syndrome,True
198,obo.DOID_0050437,DOID_0050437,class,DanonDisease,danon disease,antopol danon disease ii pseudoglycogenosis,True
199,obo.DOID_3211,DOID_3211,class,LysosomalStorageDisease,lysosomal storage disease,disease disorder lysosomal metabolism storage,True
200,obo.DOID_0050438,DOID_0050438,class,FrasierSyndrome,frasier syndrome,frasier syndrome,True
201,obo.DOID_0050439,DOID_0050439,class,UsherSyndrome,usher syndrome,syndrome usher,True
202,obo.DOID_0050440,DOID_0050440,class,FamilialPartialLipodystrophy,familial partial lipodystrophy,dunnigan familial koberling-dunnigan lipodystrophy partial syndrome,True
203,obo.DOID_811,DOID_811,class,Lipodystrophy,lipodystrophy,lipodystrophy,True
204,obo.DOID_0050441,DOID_0050441,class,Mucosulfatidosis,mucosulfatidosis,austin deficiency disease juvenile mucosulfatidosis multiple sulfatase sulfatidosis type,True
205,obo.DOID_1927,DOID_1927,class,Sphingolipidosis,sphingolipidosis,sphingolipidoses sphingolipidosis,True
206,obo.DOID_0050444,DOID_0050444,class,InfantileRefsumDisease,infantile refsum disease,acid disease infantile phytanic refsum storage,True
207,obo.DOID_906,DOID_906,class,PeroxisomalDisease,peroxisomal disease,disease peroxisomal,True
208,obo.DOID_0050445,DOID_0050445,class,X-linkedHypophosphatemicRickets,x-linked hypophosphatemic rickets,d-resistant dominant hypophosphatemia hypophosphatemic rickets vitamin x-linked,True
209,obo.DOID_10609,DOID_10609,class,Rickets,rickets,d-dependent hydroxylation-deficient rickets vitamin,True
210,obo.DOID_0050448,DOID_0050448,class,HereditaryMucosalLeukokeratosis,hereditary mucosal leukokeratosis,cannon hereditary leukokeratosis mucosal nevus sponge white,True
211,obo.DOID_0050449,DOID_0050449,class,PachyonychiaCongenita,pachyonychia congenita,congenita jackson-lawler jadassohn-lewandowsky pachyonychia syndrome type,True
212,obo.DOID_0050450,DOID_0050450,class,GitelmanSyndrome,gitelman syndrome,gitelman hypocalciuria hypomagnesemia-hypokalemia primary renotubular syndrome,True
213,obo.DOID_447,DOID_447,class,RenalTubularTransportDisease,renal tubular transport disease,disease renal transport tubular,True
214,obo.DOID_0050451,DOID_0050451,class,BrugadaSyndrome,brugada syndrome,brugada syndrome,True
215,obo.DOID_10273,DOID_10273,class,HeartConductionDisease,heart conduction disease,conduction disease heart rhythm,True
216,obo.DOID_0050452,DOID_0050452,class,MevalonicAciduria,mevalonic aciduria,aciduria deficiency kinase mevalonate mevalonic,True
217,obo.DOID_0050453,DOID_0050453,class,Lissencephaly,lissencephaly,lissencephaly,True
218,obo.DOID_2490,DOID_2490,class,CongenitalNervousSystemAbnormality,congenital nervous system abnormality,abnormality anomaly congenital nervous neurologic system,True
219,obo.DOID_0050454,DOID_0050454,class,PeriventricularNodularHeterotopia,periventricular nodular heterotopia,heterotopia nodular periventricular,True
220,obo.DOID_0050456,DOID_0050456,class,BuruliUlcerDisease,buruli ulcer disease,bairnsdale buruli daintree disease mossman searl searle ulcer,True
221,obo.DOID_0050457,DOID_0050457,class,SertoliCell-onlySyndrome,sertoli cell-only syndrome,aplasia castillo cell cell-only del germinal sertoli syndrome,True
222,obo.DOID_12336,DOID_12336,class,MaleInfertility,male infertility,infertility male,True
223,obo.DOID_0050458,DOID_0050458,class,JuvenileMyelomonocyticLeukemia,juvenile myelomonocytic leukemia,juvenile leukemia myelomonocytic,True
224,obo.DOID_4972,DOID_4972,class,Myelodysplastic/myeloproliferativeNeoplasm,myelodysplastic/myeloproliferative neoplasm,cancer myelodysplastic myeloproliferative neoplasm,True
225,obo.DOID_0050459,DOID_0050459,class,Hyperphosphatemia,hyperphosphatemia,hyperphosphatemia,True
226,obo.DOID_0050460,DOID_0050460,class,Wolf-hirschhornSyndrome,wolf-hirschhorn syndrome,4p 4p16.3 chromosome deletion pitt pitt-rogers-danks syndrome wolf-hirschhorn,True
227,obo.DOID_0060388,DOID_0060388,class,ChromosomalDeletionSyndrome,chromosomal deletion syndrome,chromosomal deletion syndrome,True
