,Entity,EntityName,EntityType,EntityLabel,EntityLabel (Short),EntityLabel (Extended),use_in_alignment
17,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C97325,C97325,class,ManufacturedObject,manufactured object,manufacture object,False
18,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C22187,C22187,class,ExperimentalOrganismDiagnosis,experimental organism diagnosis,conceptual diagnosis entity experimental organism,False
19,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C22188,C22188,class,ExperimentalOrganismAnatomicalConcept,experimental organism anatomical concept,anatomical classification concept experimental organism,False
20,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C20181,C20181,class,ConceptualEntity,conceptual entity,classification conceptual entity,False
21,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C20047,C20047,class,DiagnosticPrognosticFactor,diagnostic prognostic factor,attribute clinical diagnostic factor prognostic,False
22,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C14250,C14250,class,Organism,organism,biologicentity organism organismal taxon,False
23,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C100051,C100051,class,RenalCellCarcinomaAssociatedWithNeuroblastoma,renal cell carcinoma associated with neuroblastoma,associate cancer carcinoma cell neoplastic neuroblastoma process renal,True
24,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C3270,C3270,class,Neuroblastoma,neuroblastoma,crest malignant nbl neoplastic neural neuroblastoma no process schwannian stroma-poor tumor,True
25,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C9385,C9385,class,RenalCellCarcinoma,renal cell carcinoma,adenocarcinoma cancer carcinoma cell kidney malignant neoplastic no process rcc renal stage unclassified unspecified,True
26,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C12341,C12341,class,Conjunctiva,conjunctiva,body component conjunctiva organ part,False
27,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C32365,C32365,class,ConjunctivalEpithelium,conjunctival epithelium,conjunctival epithelium tissue,False
28,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C12591,C12591,class,Melanocyte,melanocyte,cell melanocyte,False
29,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C36027,C36027,class,Non-invasiveLesion,non-invasive lesion,find lesion non-invasive,False
30,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C2961,C2961,class,ConjunctivalNeoplasm,conjunctival neoplasm,conjunctiva conjunctival neoplasm neoplastic process tumor,True
31,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C100093,C100093,class,CentralNervousSystemNongerminomatousGermCellTumor,central nervous system nongerminomatous germ cell tumor,cell central cns gct germ neoplastic nervous nongerminomatous process system tumor,True
32,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C36897,C36897,class,MalignantPrimitiveGermCell,malignant primitive germ cell,cell germ malignant neoplastic primitive,False
33,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C121619,C121619,class,NongerminomatousGermCellTumor,nongerminomatous germ cell tumor,cell central germ include neoplastic nervous non-dysgerminomatous non-germinomatous non-seminomatous nongerminomatous nonseminomatous process system tumor,True
34,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C5461,C5461,class,CentralNervousSystemGermCellTumor,central nervous system germ cell tumor,cell central cns germ neoplasm neoplastic nervous process system tumor,True
35,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C100104,C100104,class,SignSymptom,sign symptom,clinical desc find finding sign symptom,False
36,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C3367,C3367,class,Finding,finding,entity find observable,False
37,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101046,C101046,class,Atic/alkFusionGene,atic/alk fusion gene,alk atic atic-alk fusion gene genome,False
38,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C28510,C28510,class,FusionGene,fusion gene,fusion gene genome,False
39,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C37193,C37193,class,"AnaplasticLargeCellLymphoma,Alk-positive","anaplastic large cell lymphoma, alk-positive",alcl alk alk+ alk-positive alkoma anaplastic cell large lymphoma neoplastic positive process,True
40,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C38184,C38184,class,AlkGene,alk gene,alk gene genome kinase receptor tyrosine,False
41,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C97400,C97400,class,AticGene,atic gene,5-aminoimidazole-4-carboxamide atic cyclohydrolase formyltransferase gene genome imp ribonucleotide,False
42,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C18497,C18497,class,TyrosinePhosphorylation,tyrosine phosphorylation,function molecular phosphorylation tyrosine,False
43,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C18455,C18455,class,BcrGene,bcr gene,activate bcr gene genome gtpase protein rhogef,False
44,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C24529,C24529,class,Jak2Gene,jak2 gene,gene genome jak2 janus kinase protein tyrosine,False
45,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101051,C101051,class,Cbfb/myh11FusionGene,cbfb/myh11 fusion gene,cbfb cbfb-myh11 cbfbeta cbfbeta-myh11 cbfbeta-smmhc fusion gene genome myh11 smmhc,False
46,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C9287,C9287,class,AcuteMyeloidLeukemiaWithInv16p13.1q22T16;16p13.1;q22;Cbfb-myh11,acute myeloid leukemia with inv16p13.1q22 t16;16p13.1;q22; cbfb-myh11,abnormal acute aml cbf-beta cbfb cbfb-myh11 eosinophil inv leukemia marrow myeloid myh11 neoplastic p13.1 p13.1q22 p13q22 process q22,True
47,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C16521,C16521,class,TranscriptionalRepression,transcriptional repression,down-regulation function gene genetic repression transcription transcriptional,False
48,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C18584,C18584,class,CbfbGene,cbfb gene,beta cbfb core-binding factor gene genome subunit,False
49,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C29957,C29957,class,Myh11Gene,myh11 gene,chain gene genome heavy muscle myh11 myosin smooth,False
50,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101053,C101053,class,Col1a2/plag1FusionGene,col1a2/plag1 fusion gene,col1a2 col1a2-plag1 fusion gene genome plag1,False
51,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C27483,C27483,class,Lipoblastoma,lipoblastoma,embryonic fetal infantile lipoblastoma lipoma neoplastic process,True
52,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C4255,C4255,class,Lipoblastomatosis,lipoblastomatosis,fetal lipoblastomatosis lipomatosis neoplastic process,True
53,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C71423,C71423,class,Plag1Gene,plag1 gene,adenoma gene genome plag1 pleiomorphic,False
54,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101054,C101054,class,Has2/plag1FusionGene,has2/plag1 fusion gene,fusion gene genome has2 has2-plag1 plag1,False
55,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101055,C101055,class,Fus/creb3l1FusionGene,fus/creb3l1 fusion gene,creb3l1 fus fus-creb3l1 fusion gene genome,False
56,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C45202,C45202,class,LowGradeFibromyxoidSarcoma,low grade fibromyxoid sarcoma,fibromyxoid grade low low-grade neoplastic process sarcoma,True
57,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C91852,C91852,class,FusGene,fus gene,bind fus gene genome protein rna tl,False
58,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C95477,C95477,class,Creb3l1Gene,creb3l1 gene,3-like bind camp creb3l1 element gene genome protein responsive,False
59,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101057,C101057,class,Mll/ellFusionGene,mll/ell fusion gene,ell fusion gene genome kmt2a kmt2a-ell mll mll-ell,False
60,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C18585,C18585,class,Kmt2aGene,kmt2a gene,2a gene genome kmt2a lysine methyltransferase mll,False
61,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C97516,C97516,class,EllGene,ell gene,ell elongation factor gene genome ii polymerase rna,False
62,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101059,C101059,class,Msn/alkFusionGene,msn/alk fusion gene,alk fusion gene genome msn msn-alk,False
63,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C97621,C97621,class,MsnGene,msn gene,gene genome moesin msn,False
64,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C24854,C24854,class,Tfe3Gene,tfe3 gene,bind enhancer factor gene genome ighm tfe3 transcription,False
65,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C21185,C21185,class,Npm1Gene,npm1 gene,b23 gene genome npm1 nucleolar nucleophosmin numatrin phosphoprotein,False
66,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C21571,C21571,class,RaraGene,rara gene,acid alpha gene genome rara receptor retinoic,False
67,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101075,C101075,class,Tfg/alkFusionGene,tfg/alk fusion gene,alk fusion gene genome tfg tfg-alk,False
68,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C97834,C97834,class,TfgGene,tfg gene,gene genome tfg trk-fused,False
69,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101083,C101083,class,Tpm3/alkFusionGene,tpm3/alk fusion gene,alk fusion gene genome tpm3 tpm3-alk,False
70,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C6481,C6481,class,InflammatoryMyofibroblasticTumor,inflammatory myofibroblastic tumor,fibrosarcoma imt inflammatory myofibroblastic neoplasm neoplastic process pseudotumor tumor,True
71,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C97849,C97849,class,Tpm3Gene,tpm3 gene,gene genome tpm3 tropomyosin,False
72,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101085,C101085,class,Tpm4/alkFusionGene,tpm4/alk fusion gene,alk fusion gene genome tpm4 tpm4-alk,False
73,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C97852,C97852,class,Tpm4Gene,tpm4 gene,gene genome tpm4 tropomyosin,False
74,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101091,C101091,class,BcorGene,bcor gene,bcl6 bcor corepressor gene genome,False
75,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C20703,C20703,class,TranscriptionRepressor/corepressorGene,transcription repressor/corepressor gene,corepressor gene genome repressor transcription,False
76,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C4264,C4264,class,ClearCellSarcomaOfTheKidney,clear cell sarcoma of the kidney,ccsk cell childhood clear kidney neoplastic pediatric process renal sarcoma,True
77,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C19970,C19970,class,PatternFormation,pattern formation,formation function organ pattern tissue,False
78,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C82956,C82956,class,Odontogenesis,odontogenesis,function odontogenesis organ tissue,False
79,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101116,C101116,class,YwhaeGene,ywhae gene,3-monooxygenase 5-monooxygenase activation epsilon gene genome polypeptide protein tryptophan tyrosine ywhae,False
80,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C25997,C25997,class,AdaptorSignalingProteinGene,adaptor signaling protein gene,adapter adaptor gene genome protein signal,False
81,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C126998,C126998,class,UterineCorpusHighGradeEndometrialStromalSarcoma,uterine corpus high grade endometrial stromal sarcoma,corpus endometrial es grade high neoplastic process sarcoma stromal uterine ywhae-fam22,True
82,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C17133,C17133,class,SignalTransduction,signal transduction,cell communication function intracellular molecular signal transduction,False
83,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C20150,C20150,class,PositiveRegulationOfApoptosis,positive regulation of apoptosis,apoptosis induction phenomenon positive process regulation,False
84,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C21040,C21040,class,IntracellularSignalingProcess,intracellular signaling process,cell communication function intracellular molecular process signal subcellular,False
85,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C28563,C28563,class,G2ToMTransitionProcess,g2 to m transition process,function molecular,False
86,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101216,C101216,class,Myopathy,myopathy,disease myopathy syndrome,False
87,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C118317,C118317,class,Non-neoplasticMuscleDisorder,non-neoplastic muscle disorder,disease disorder muscle non-neoplastic syndrome,False
88,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C94299,C94299,class,ReceptorStatus,receptor status,laboratory receptor result status test,False
89,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101440,C101440,class,Camta1Gene,camta1 gene,activator bind calmodulin camta1 gene genome transcription,False
90,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C54362,C54362,class,TranscriptionRegulationGene,transcription regulation gene,gene genome regulation transcription,False
91,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C19077,C19077,class,TranscriptionalRegulation,transcriptional regulation,control function genetic regulation transcription transcriptional,False
92,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C87543,C87543,class,StageIDifferentiatedThyroidGlandCarcinomaAjccV7,stage i differentiated thyroid gland carcinoma ajcc v7,ajcc cancer carcinoma differentiate follicular gland neoplastic papillary process stage thyroid v7,True
93,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C87544,C87544,class,StageIiDifferentiatedThyroidGlandCarcinomaAjccV7,stage ii differentiated thyroid gland carcinoma ajcc v7,ajcc cancer carcinoma differentiate follicular gland ii neoplastic papillary process stage thyroid v7,True
94,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C101641,C101641,class,Palb2GeneMutation,palb2 gene mutation,anemia brca2 cell complementation dysfunction fancn fanconi gene group localizer molecular mutation palb2 partner pnca3,False
95,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C84945,C84945,class,Palb2Gene,palb2 gene,brca2 gene genome localizer palb2 partner,False
96,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C3113,C3113,class,Hyperplasia,hyperplasia,function hyperplasia hyperplastic pathologic,False
97,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C102570,C102570,class,UterineLigamentAdenosarcoma,uterine ligament adenosarcoma,adenosarcoma ligament neoplastic process uterine,True
98,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C61360,C61360,class,UterineLigament,uterine ligament,body component ligament organ part uterine,False
99,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C126498,C126498,class,MalignantUterineLigamentNeoplasm,malignant uterine ligament neoplasm,ligament malignant neoplasm neoplastic process uterine,True
100,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C9474,C9474,class,Adenosarcoma,adenosarcoma,adenosarcoma mullerian müllerian neoplastic process,True
101,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C37145,C37145,class,NeoplasticNeuroblast,neoplastic neuroblast,cell neoplastic neuroblast neuroblastic,False
102,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C6639,C6639,class,Stage2Neuroblastoma,stage2 neuroblastoma,ii neoplastic neuroblastoma process stage,True
103,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C102870,C102870,class,OvarianNon-dysgerminomatousGermCellTumor,ovarian non-dysgerminomatous germ cell tumor,cell gct germ neoplastic no non-dysgerminomatous nondysgerm nondysgerminomatous ovarian process tumor,True
104,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C39986,C39986,class,OvarianPrimitiveGermCellTumor,ovarian primitive germ cell tumor,cell germ neoplastic ovarian primitive process tumor,True
105,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C12438,C12438,class,CentralNervousSystem,central nervous system,body central cns nervous system,False
106,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C9293,C9293,class,CentralNervousSystemNeoplasm,central nervous system neoplasm,brain central cns cord neoplasm neoplastic nervous process spinal system tumor,True
107,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C102872,C102872,class,PharyngealSquamousCellCarcinoma,pharyngeal squamous cell carcinoma,cancer carcinoma cell hypopharyngeal include neoplastic oropharyngeal pharyngeal process squam squamous throat,True
108,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C34447,C34447,class,HeadneckSquamousCellCarcinoma,headneck squamous cell carcinoma,carcinoma cell head hnscc neck neoplastic no process scchn squamous,True
109,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C9466,C9466,class,PharyngealCarcinoma,pharyngeal carcinoma,cancer carcinoma neoplastic pharyngeal pharynx process throat,True
110,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C7062,C7062,class,NeoplasmBySpecialCategory,neoplasm by special category,category neoplasm neoplastic process special,True
111,C:\Users\goche\Desktop\WIMS2026\wims2026_implementation\Datasets\2024\BioML\snomed-ncit.neoplas\ncit.neoplas.C102884,C102884,class,HumanPapillomavirus-relatedMalignantNeoplasmInAidsPatient,human papillomavirus-related malignant neoplasm in aids patient,aid aids-related cancer hpv-related human malignant neoplasm neoplastic no papillomavirus-related patient process,True
