,SrcEntity,TgtEntity,SrcLabel,TgtLabel,label
47,C40206,DOID_6101,adenocarcinoma adenoma cervical deviation malignum minimal mucinous neoplastic process type variant,adenocarcinoma cell cervical mucinous ring signet variant,0
48,C6358,DOID_4757,testicular sex cord stromal neoplasm,cord stromal neoplasm sex,1
49,C3744,DOID_1618,fibroadenoma of breast,breast fibroadenoma juvenile,1
50,C3739,DOID_4415,benign fibrous fibroxanthoma histiocytoma neoplastic no process,fibrous histiocytoma,1
51,C6155,DOID_4938,adenocarcinoma neoplastic process ureter ureteral,adenocarcinoma ureter,1
52,C3192,DOID_14175,benign lipoma neoplastic no process,disease hippel lindau von,0
53,C7910,DOID_5396,prolactin secreting tumor of pituitary gland,carcinoma gland malignant neoplasm pituitary produce prolactin prolactin producing tumor,1
54,C4577,DOID_368,malignant tumor of the cerebral hemispheres,cancer cerebral cerebrum,1
55,C118783,DOID_0110636,1a congenital disease dystrophy mdc1a merosin deficient muscular syndrome type,merosin negative congenital muscular dystrophy,1
56,C88413,DOID_0110071,antisocial behavioral disorder dysfunction mental personality psychopathy sociopathy,arrhythmogenic arvc2 arvd2 cardiomyopathy dysplasia familial right ventricular,0
57,C5292,DOID_1360,convexity frontal meningioma neoplastic process,cancer frontal sinus,0
58,C5041,DOID_92,speech impediment or impairment,disorder speech,1
59,C131633,DOID_12134,deficiency disease factor syndrome xiii,deficiency factor viii,0
60,C99108,DOID_11249,coagulation deficiency disease disorder syndrome vitamin,deficiency disease hemorrhagic vitamin,1
61,C84652,DOID_225,costello disease syndrome,syndrome,0
62,C34433,DOID_4961,bone disease disorder marrow syndrome,bone disease marrow,1
63,C84909,DOID_4752,disease or syndrome,atrophy multiple shy drager syndrome system,1
64,C6176,DOID_0050875,carcinoma cell neoplastic neuroendocrine process small ureter ureteral,carcinoma cell neuroendocrine small,0
65,C6631,DOID_12064,neurofibroma of the mediastinum,mediastinum neurofibroma,1
66,C27248,DOID_7327,cranial fasciitis neoplastic nodular process pseudosarcomatous,fibromatosis pseudosarcomatous,0
67,C4425,DOID_2599,glottis neoplasm neoplastic process tumor,carcinoma glottis,0
68,C3687,DOID_6257,adenoma chromophil kidney neoplastic papillary process renal,chromophil adenoma of the kidney,1
69,C26748,DOID_11503,diabetic disease neuropathy syndrome,autonomic diabetic neuropathy,0
70,C6840,DOID_6559,invert maxillary neoplastic papilloma process schneiderian sinus,ethmoid papilloma schneiderian sinus,0
71,C4640,DOID_6438,malignant melanoma neoplastic process rectal rectum,choroid malignant melanoma,0
72,C6849,DOID_339,accessory neoplastic paranasal process sarcoma sinus,accessory disease nerve,0
73,C6022,DOID_5288,leiomyosarcoma of larynx,larynx leiomyosarcoma,1
74,C3502,DOID_8292,adenoma benign cell follicular gland neoplastic process thyroid,adenoma atypical follicular,0
75,C6836,DOID_6054,ethmoid neoplastic papilloma process schneiderian sinus,frontal papilloma schneiderian sinus,0
76,C3512,DOID_3910,lung adenocarcinoma,adenocarcinoma bronchogenic cell lung nonsmall,1
77,C98889,DOID_0080100,central congenital disease hypoventilation syndrome,congenital myopathy,0
78,C4341,DOID_0050748,mzbcl,b cell lymphoma marginal zone,1
79,C34782,DOID_5082,alcoholic cirrhosis disease syndrome,cirrhosis liver,0
80,C5669,DOID_4769,neoplastic process,blastoma pleuropulmonary,1
81,C3716,DOID_341,neoplasm neoplastic neuroectodermal neuroepithelioma no pnet primitive process tumor,arterial disease occlusive peripheral vascular,0
82,C6848,DOID_4893,adenocarcinoma ear middle neoplastic process,carcinoma ear middle,0
83,C7739,DOID_5393,angioma brain hemangioma neoplastic process,angioma brain,1
84,C85175,DOID_4334,artery disease mesenteric superior syndrome,leukemia manifestation prolymphocytic splenic,0
85,C6068,DOID_1355,neoplastic process,lymphoma paranasal sinus,1
86,C8704,DOID_1788,advanced malignant peritoneal mesothelioma,advanced malignant mesothelioma peritoneal,1
87,C118437,DOID_0111041,deficiency disease glycogen gsd7 gsdvii muscle pfkm phosphofructokinase storage syndrome tarui type vii,9b deficiency disease due glycogen glycogenosis gsd gsd9b ixb kinase liver muscle phosphorylase storage type,0
88,C82342,DOID_0090104,chorea disease hd huntington syndrome,disease like hdl2 huntington,0
89,C34565,DOID_1245,disease dystrophy syndrome vulvar,cancer neoplasm vulva vulvar,0
90,C98640,DOID_0050727,disease syndrome tyrosinemia,iii type tyrosinemia,0
91,C8196,DOID_4931,cavity find granuloma lesion lethal midfacial midline nasal necrotising paranasal sinus,carcinoma cavity nasal,0
92,C27207,DOID_12657,acoustic nerve disorder nos,disease nerve vestibulocochlear,1
93,C5532,DOID_10289,benign neoplasm neoplastic phyllode process prostate tumor,malignant phyllode prostate tumor,0
94,C34433,DOID_0080001,bone disease disorder marrow syndrome,bone disease,0
95,C4664,DOID_0050751,t cell large granular lymphocytic leukemia,granular large leukemia lymphocyte lymphocytic t cell,1
96,C5678,DOID_6460,colorectal lipoma,intestine large lipoma,1
97,C3562,DOID_930,malignant neoplasm neoplastic orbit orbital process tumor,disease orbital,0
98,C5592,DOID_8368,3rd chordoid glioma grade ii neoplastic process third ventricle,chordoid meningioma,0
99,C3562,DOID_4143,malignant neoplasm of the orbit,cancer orbit orbital,1
100,C34597,DOID_11782,disease ethmoidal sinusitis syndrome,astigmatism,0
101,C60641,DOID_0080183,carcinoma colon medullary neoplastic process,medullary colon carcinoma,1
102,C27576,DOID_0050787,childhood dermatomyositis disease jdm juvenile syndrome,juvenile polyposis syndrome,0
103,C40387,DOID_8068,intraductal breast myoepitheliosis,breast intraductal myoepitheliosis,1
104,C8712,DOID_3304,germinoma neoplastic pineal process region,germinoma,0
105,C8810,DOID_3357,soft tissue osteosarcoma,extraosseous osteosarcoma,1
106,C27248,DOID_9600,cranial fasciitis neoplastic nodular process pseudosarcomatous,fasciitis plantar,0
107,C3040,DOID_13374,disease fibrodysplasia myositis ossificans progressiva syndrome,stone man syndrome,1
108,C84391,DOID_10871,amd,age age related degeneration macular relate,1
109,C5592,DOID_3773,3rd chordoid glioma grade ii neoplastic process third ventricle,chordoid glioma third ventricle,0
110,C6336,DOID_1974,adenosarcoma body corpus mullerian mu llerian neoplastic process uterine uterus,adenosarcoma,0
111,C27445,DOID_8151,appendiceal l cell glucagon like peptide producing neoplasm,appendiceal glucagon like glucagonoma l cell malignant peptide produce tumor,1
112,C3708,DOID_2994,cell germ neoplasm neoplastic no process tumor,germ cell cancer,1
113,C35123,DOID_13095,disease or syndrome,artery insufficiency vertebral,1
114,C6601,DOID_3908,cell granular mediastinal mediastinum myoblastoma neoplasm neoplastic process tumor,carcinoma cell lung non small,0
115,C7811,DOID_5703,adult liposarcoma neoplastic process,liposarcoma mixed,0
116,C6166,DOID_2671,cancer carcinoma cell neoplastic process transitional urethra urethral urothelial,carcinoma cell transitional urothelial,0
117,C6914,DOID_8651,hodgkin granuloma,extranodal granuloma hodgkin organ site solid unspecified,1
118,C5560,DOID_7566,carcinoma eccrine epidermotropic malignant neoplastic porocarcinoma poroma process,eccrine porocarcinoma,1
119,C42058,DOID_5193,neoplastic process,ganglioneuroblastoma nodular,1
120,C3564,DOID_4251,conjunctiva conjunctival malignant neoplasm neoplastic process tumor,conjunctival disease,0
121,C7484,DOID_2877,laryngeal larynx malignant neoplasm neoplastic process tumor,larynx sarcoma,0
122,C39812,DOID_315,adenofibroma metanephric neoplastic nephrogenic process,neoplasm synovium,0
123,C121207,DOID_775,disease pyometra syndrome,intraocular lymphoma primary,0
124,C121932,DOID_200,benign bone cell giant neoplastic no osteoclastoma process tumor,cell giant tumor,0
125,C2955,DOID_0080199,carcinoma of large intestine,carcinoma colorectal,1
126,C34433,DOID_4961,bone marrow disease,bone disease marrow,1
127,C118437,DOID_11721,tarui disease,disease glycogen storage type vii,1
128,C6376,DOID_2071,cell neoplastic papilloma process squamous vestibular vulvar,vulvar squamous papilloma,1
129,C7376,DOID_9076,diffuse malignant mesothelioma neoplastic pleura pleural process,discoid erythematosus eyelid lupus,0
130,C84391,DOID_0110021,age related amd armd degeneration disease macular syndrome,age armd9 degeneration macular relate,0
131,C129027,DOID_0060519,anemia complementation disease fanconi group syndrome,allergy beta lactam,0
132,C5846,DOID_3698,colloidal adenocarcinoma of extrahepatic bile duct,adenocarcinoma bile duct mucinous,1
133,C97132,DOID_8659,chicken pox,chickenpox,1
134,C3675,DOID_5200,disease obstructive syndrome uropathy,obstruction tract urinary,1
135,C74995,DOID_0110879,disease holoprosencephaly syndrome type,holoprosencephaly hpe8,0
136,C4949,DOID_409,hepatic liver lymphoma neoplastic primary process,disease liver,0
137,C7986,DOID_1752,cell intraocular melanoma neoplastic process spindle uvea uveal,eye intraocular melanoma ocular,0
138,C8263,DOID_0080149,acute adult differentiate leukemia m5b monocytic neoplastic process,adult acute monocytic leukemia,1
139,C4017,DOID_3007,ductal carcinoma of the breast,breast carcinoma ductal,1
140,C3308,DOID_2426,neoplasm neoplastic no paraganglioma paraganglion paraganglionic process tumor,gangliocytoma,0
141,C3031,DOID_2173,eyelid neoplasm,eyelid neoplasm,1
142,C4341,DOID_0060670,b cell lymphoma marginal mzbcl mzl neoplastic no process zone,cavernous ccm2 cerebral malformation,0
143,C4816,DOID_4407,dermatitis disease photodermatitis photosensitive photosensitivity reaction syndrome,dermatitis phototoxic,1
144,C4642,DOID_7806,astrocytic brain glioblastoma grade iv multiforme neoplasm neoplastic process tumor,adult cord glioblastoma multiforme spinal,0
145,C62018,DOID_11312,second degree atrioventricular block mo bitz type ii,atrioventricular block ii mobitz type,1
146,C6043,DOID_7474,angiosarcoma atriocaval gland hemangioendothelioma hemangiosarcoma malignant mesothelioma neoplastic process thyroid,malignant mesothelioma pleural,0
147,C7888,DOID_4906,small bowel adenocarcinoma,adenocarcinoma intestine small,1
148,C123413,DOID_0110040,familial alzheimers disease type 4,ad4 alzheimer disease familial4,1
149,C126741,DOID_0110635,anomaly brain congenital disease dystrophy dystroglycanopathy eye mddga4 muscular syndrome type,1c b5 congenital dystrophy dystrophy dystroglycanopathy fkrp related mdc1c mddgb5 mental muscular retardation type without,0
150,C118437,DOID_2747,deficiency disease glycogen gsd7 gsdvii muscle pfkm phosphofructokinase storage syndrome tarui type vii,disease glycogen storage,0
151,C3178,DOID_0050458,chronic cmml leukemia myelomonocytic neoplastic process,juvenile leukemia myelomonocytic,0
152,C84795,DOID_0060451,meesmann corneal dystrophy,corneal dystrophy epithelial hereditary juvenile mecd meesmann stocker holt,1
153,C5461,DOID_4439,germ cell neoplasm of central nervous system,cell central germ nervous system tumor,1
154,C6846,DOID_2891,adenoma gland hyalinizing neoplastic paraganglioma like plat process thyroid trabecular tumor,adenoma thyroid,0
155,C3009,DOID_28,endocrine disease,disease endocrine system,1
156,C4336,DOID_5039,cell granular malignant myoblastoma neoplasm neoplastic process tumor,myoblastoma,0
157,C3398,DOID_5876,gland neoplasm neoplastic no process sweat tumor,apocrine gland neoplasm sweat,0
158,C6248,DOID_3225,lymphoma neoplastic primary process trachea tracheal,disease tracheal,0
159,C84646,DOID_1342,anemia congenital disease dyserythropoietic syndrome,anemia congenital hypoplastic,0
160,C40387,DOID_3013,breast intraductal myoepitheliosis neoplastic process,breast intraductal neoplasm,0
161,C5592,DOID_3773,chordoid glioma of 3rd ventricle,chordoid glioma third ventricle,1
162,C40284,DOID_7363,carcinoma cell keratinize neoplastic process squamous vulvar,vulvar keratinizing squamous cell carcinoma,1
163,C34982,DOID_13025,terry syndrome,prematurity retinopathy,1
164,C9335,DOID_4364,breast malignant neoplasm neoplastic process tumor,breast malignant melanoma,0
165,C5158,DOID_14151,neoplastic process,cord melanoma spinal,1
166,C35807,DOID_13405,disease hypercalcemic sarcoidosis syndrome,cardiac sarcoidosis,0
167,C4616,DOID_10188,cutaneous lipoma neoplastic process skin,cutaneous face lipoma lipomatous skin tumor,1
168,C27896,DOID_3405,disease multicentric reticulohistiocytosis syndrome,histiocytosis,0
169,C3675,DOID_5200,disease or syndrome,obstruction tract urinary,1
170,C3179,DOID_1036,chronic leukemia neoplastic neutrophilic process,chronic leukemia,0
171,C84655,DOID_2340,craniosynostosis,craniosynostosis,1
172,C60989,DOID_0110671,disease gravis myasthenia syndrome,apnea associate cm cms1a2 cms6 cmsea congenital episodic familial fim fimg2 gravis ia2 infantile myasthenia myasthenic presynaptic syndrome type,0
173,C35419,DOID_10205,axilla axillary lipoma neoplastic process,axillary lipoma,1
174,C4130,DOID_3603,associate bile biliary carcinoma cystadenocarcinoma cystic duct invasive mcn mucinous neoplasm neoplastic process,cystadenocarcinoma mucinous,0
175,C5627,DOID_4053,neoplastic process rectal rectum rhabdomyosarcoma,rectum rhabdomyosarcoma,1
176,C97132,DOID_0050769,chicken chickenpox disease infection pox syndrome varicella,syndrome,0
177,C2993,DOID_0060459,disease syndrome trisomy,3q29 chromosome microduplication syndrome trisomy,0
178,C4527,DOID_6332,hemangiopericytoma kidney neoplastic process renal,adult hemangiopericytoma malignant,0
179,C6897,DOID_2673,cystic differentiate kidney malignant multilocular neoplastic nephroblastoma nephroma partially process,cystic nephroma,0
180,C26956,DOID_8642,hodgkin neoplastic no paragranuloma process,hodgkin paragranuloma,1
181,C27019,DOID_48,disease disorder male reproductive syndrome system,disease male reproductive system,1
182,C5158,DOID_11195,cord melanoma neoplastic process spinal,acute laryngopharyngitis,0
183,C4616,DOID_10199,cutaneous lipoma neoplastic process skin,breast lipoma,0
184,C35194,DOID_8501,disease dystrophy hereditary retinal syndrome,fundus dystrophy,1
185,C121932,DOID_4308,benign bone cell giant neoplastic no osteoclastoma process tumor,polyradiculoneuropathy,0
186,C3371,DOID_37,cutaneous disease disorder manifestation skin syndrome,skin disease,1
187,C35086,DOID_9733,disease miliary syndrome tuberculosis,renal tuberculosis,0
188,C26908,DOID_6039,disease disorder syndrome uveal,melanoma uveal,0
189,C9335,DOID_1612,malignant neoplasm of the breast,breast cancer malignant mammary neoplasm primary,1
190,C6248,DOID_12001,tracheal lymphoma,lymphoma trachea tracheal,1
191,C27625,DOID_0050776,chronic disease endometritis non specific syndrome,disability intellectual mental non specific non syndromic retardation x linked,0
192,C26748,DOID_9743,disease or syndrome,diabetic neuropathy,1
193,C2955,DOID_0080199,colorectal cancer,carcinoma colorectal,1
194,C118437,DOID_11721,deficiency disease glycogen gsd7 gsdvii muscle pfkm phosphofructokinase storage syndrome tarui type vii,glycogen storage disease vii,1
195,C5475,DOID_5525,cancer carcinoma cell gastric neoplastic process squamous stomach,anal carcinoma cell squamous,0
196,C26734,DOID_13867,abnormality congenital disease hypothyroidism syndrome,focal labyrinthitis,0
197,C27207,DOID_12657,vestibulocochlear nerve disorder,disease nerve vestibulocochlear,1
198,C27625,DOID_4560,non specific chronic endometritis,chronic endometritis non specific,1
199,C8540,DOID_13081,angioma hemangioma neoplastic process subcutaneous tissue,hemangioma of subcutaneous tissue,1
200,C40366,DOID_6585,oncocytic breast carcinoma,breast carcinoma oncocytic,1
201,C4533,DOID_3540,malignant neoplasm of choroid plexus,cancer choroid plexus,1
202,C4256,DOID_1623,cellular leiomyoma neoplastic process,breast leiomyoma,0
203,C118764,DOID_10375,amblyopia disease eye lazy syndrome,amblyopia suppression,0
204,C121207,DOID_0050862,pyometra,pyometritis,1
205,C74995,DOID_4621,disease holoprosencephaly syndrome type,holoprosencephaly,0
206,C9055,DOID_3999,bartholins gland cancer,bartholin carcinoma gland,1
207,C3575,DOID_4921,cancer endocrine gland malignant neoplasm neoplastic no process tumor,cancer eccrine gland malignant neoplasm skin sweat,0
208,C39832,DOID_3742,bladder carcinoma cell neoplastic process squamous verrucous,bladder carcinoma cell squamous,0
209,C3085,DOID_3978,angioma benign hemangioma neoplastic no process,cardiomyopathy extrinsic,0
210,C3529,DOID_8578,neoplastic process,cancer palate soft,1
211,C3997,DOID_3868,childhood medulloblastoma neoplastic pediatric process,medulloblastoma melanotic,0
212,C92950,DOID_0050004,disease gc gonorrhea syndrome,acute gonorrhea seminal vesicle,0
213,C6068,DOID_337,accessory lymphoma neoplastic paranasal primary process sinus,accessory neoplasm nerve spinal,0
214,C123207,DOID_0080174,bladder exstrophy,bladder exstrophy,1
215,C84758,DOID_0050951,angioedema disease hereditary syndrome,ataxia hereditary,0
216,C84391,DOID_0110020,age related amd armd degeneration disease macular syndrome,age armd8 degeneration macular relate,0
217,C97179,DOID_13714,behavioral developmental disorder dysfunction mental pervasive,absence anodontia developmental tooth,0
218,C97179,DOID_0060040,behavioral developmental disorder dysfunction mental pervasive,pervasive development disorder,1
219,C4640,DOID_3149,malignant melanoma neoplastic process rectal rectum,keratoacanthoma,0
220,C6346,DOID_6428,adenoid cancer carcinoma cervical cervix cystic neoplastic process uteri uterine uterus,adenoid basal carcinoma cervical,0
221,C5144,DOID_1641,benign adenomyoepithelioma of the breast,adenomyoepithelioma benign breast,1
222,C6358,DOID_4757,cord stromal neoplasm neoplastic process sex testicular testis tumor,sex cord stromal neoplasm,1
223,C9295,DOID_3664,cell disease mast neoplasm neoplastic no process proliferative tumor,cell mast neoplasm tumor,1
224,C62018,DOID_11312,mobitz ii,atrioventricular block ii mobitz type,1
225,C6505,DOID_5690,alt atypical differentiate lipoma lipomatous liposarcoma neoplastic process tumor wdlps well well differentiated,atypical lipomatous tumor,1
226,C123330,DOID_4448,disease or syndrome,degeneration macular,1
227,C4664,DOID_0050751,cell disease disorder gamma gran granular large leuk leukemia lgll lymph lymphocyte lymphocytic lymphocytosis lymphogenous lymphoid lymphoproliferative malignant neoplastic process t cell t gamma t lgl tgamma,granular large leukemia lymphocyte lymphocytic t cell,1
228,C6505,DOID_5690,liposarcoma differentiated,atypical lipomatous tumor,1
229,C5236,DOID_4061,neoplastic ovarian ovary process rhabdomyosarcoma,rhabdomyosarcoma testis,0
230,C101216,DOID_0080100,disease myopathy syndrome,congenital myopathy,0
231,C39885,DOID_7246,prostate acinar adenocarcinoma lymphoepithelioma like variant,acinar adenocarcinoma lymphoepithelioma like prostate variant,1
232,C45745,DOID_0080198,isolated cardiac lipidosis,cardiomyopathy histiocytoid infantile,1
233,C6166,DOID_4013,cancer carcinoma cell neoplastic process transitional urethra urethral urothelial,carcinoma cell transitional urethra,1
234,C7004,DOID_501,central cns hemangioma neoplastic nervous process system,central hemangioma nervous system,1
235,C3178,DOID_0080188,chronic cmml leukemia myelomonocytic neoplastic process,chronic myelomonocytic leukemia,1
236,C35434,DOID_10780,disease due erythropoetin excess polycythaemia production syndrome,erythrocytosis familial polycythemia primary,0
237,C5475,DOID_3151,cancer carcinoma cell gastric neoplastic process squamous stomach,carcinoma cell skin squamous,0
238,C27445,DOID_8151,neoplastic process,appendiceal glucagon like glucagonoma l cell malignant peptide produce tumor,1
239,C5592,DOID_3773,chordoid glioma of the third ventricle who grade ii,chordoid glioma third ventricle,1
240,C4664,DOID_0050751,neoplastic process,granular large leukemia lymphocyte lymphocytic t cell,1
241,C4426,DOID_10069,neoplastic process,neoplasm subglottis,1
242,C4527,DOID_4060,hemangiopericytoma kidney neoplastic process renal,breast rhabdomyosarcoma,0
243,C6568,DOID_4454,renal cell cancer,carcinoma cell childhood kidney,1
244,C40439,DOID_7651,carcinoma cell hypercalcemic neoplastic ovarian process sccoht small type,hypercalcemic type ovarian small cell carcinoma,1
245,C6914,DOID_0110201,function granuloma hodgkin pathologic,autosomal charcot marie tooth cmtria disease intermediate neuropathy recessive ri cmta type,0
246,C27445,DOID_11240,appendiceal appendix glucagon like l cell neoplasm neoplastic net neuroendocrine peptide peptide producing process produce tumor,appendiceal neoplasm,0
247,C131685,DOID_12531,disease syndrome type von willebrand,disease von willebrand,0
248,C3529,DOID_8578,malignant neoplasm of soft palate,cancer palate soft,1
249,C3213,DOID_0060221,hemangiomata with dyschondroplasia,maffucci syndrome,1
250,C34436,DOID_1729,arterial branch disease occlusion retinal syndrome,occlusion retinal vascular,0
251,C3092,DOID_0014667,disease hemoglobinopathy iron metabolism syndrome,disease metabolism,0
252,C118437,DOID_11721,deficiency disease glycogen gsd7 gsdvii muscle pfkm phosphofructokinase storage syndrome tarui type vii,disease glycogen storage type vii,1
253,C34597,DOID_9507,disease ethmoidal sinusitis syndrome,ethmoid sinusitis,1
254,C39987,DOID_6514,neoplastic ovarian pattern polyvesicular process sac tumor vitelline yolk,polyvesicular vitelline pattern ovarian yolk sac tumor,1
255,C6043,DOID_4514,thyroid angiosarcoma,angiosarcoma thyroid,1
256,C34582,DOID_4562,disease endocarditis syndrome,bacterial endocarditis subacute,0
257,C5609,DOID_4908,adenocarcinoma anal gland neoplastic process,anal carcinoma,0
258,C6166,DOID_4013,urethral urothelial carcinoma,carcinoma cell transitional urethra,1
259,C7720,DOID_0060262,adenoma gallbladder neoplastic process,disease gallbladder,0
260,C5846,DOID_3698,colloid adenocarcinoma of extrahepatic bile duct,adenocarcinoma bile duct mucinous,1
261,C42058,DOID_4163,ganglioneuroblastoma neoplastic nodular process,ganglioneuroblastoma,0
262,C4017,DOID_3007,ductal adenocarcinoma,breast carcinoma ductal,1
263,C3567,DOID_292,duct lacrimal malignant nasolacrimal neoplasm neoplastic process tumor,cancer lacrimal neoplasm system,0
264,C3388,DOID_10808,disease gastric syndrome ulcer,acute gastric ulcer without hemorrhage without perforation and without obstruction,1
265,C97145,DOID_3089,disease orchitis syndrome,granulomatous orchitis,0
266,C5135,DOID_5615,intradural extramedullary spinal canal tumor,canal extramedullary intradural neoplasm spinal,1
267,C34597,DOID_9507,disease ethmoidal sinusitis syndrome,ethmoiditis,1
268,C5364,DOID_5261,neoplastic process,heart leiomyosarcoma,1
269,C3424,DOID_1578,bourneville complex disease sclerosis syndrome tsc tuberous,disease lung pulmonary sclerosis systemic,0
270,C35556,DOID_0050336,botryoid type botryoides childhood embryonal neoplastic process rhabdomyosarcoma sarcoma vagina vaginal,hypophosphatemia,0
271,C34996,DOID_13402,cutaneous disease sarcoidosis syndrome,sarcoidosis skin,1
272,C85028,DOID_12506,disease palsy progressive steele richardson olszewski supranuclear syndrome,bell palsy,0
273,C40320,DOID_8512,alveolar neoplastic part process sarcoma soft vulvar,embolism puerperal pulmonary,0
274,C4191,DOID_2682,intracystic papilloma,adenoma intracystic papillary,1
275,C27539,DOID_4293,basal carcinoma cell infiltrate neoplastic no process skin,basal carcinoma cell clear skin,0
276,C34382,DOID_13382,anemia disease megaloblastic syndrome,mga1 norwegian type,1
277,C4540,DOID_4870,neoplastic process,adenoid carcinoma cystic gland lacrimal,1
278,C26710,DOID_12375,bronchial bronchopneumonia disease lobular pneumonia syndrome,bronchial bronchopneumonia lobular pneumonia,1
279,C4191,DOID_2615,adenoma intracystic neoplastic papillary papilloma process,papilloma papillomatosis,0
280,C3388,DOID_10808,disease gastric syndrome ulcer,acute gastric ulcer without hemorrhage and without perforation,1
281,C60989,DOID_437,disease gravis myasthenia syndrome,myasthenia gravis,1
282,C9335,DOID_1614,breast malignant neoplasm neoplastic process tumor,breast cancer male malignant neoplasm,0
283,C7368,DOID_5374,pilomatricoma,benign pilomatricoma pilomatrixoma,1
284,C27597,DOID_11550,disease or syndrome,nerve oculomotor paralysis,1
285,C26975,DOID_11797,chronic disease laryngitis syndrome,chronic laryngitis,1
286,C35434,DOID_0060215,disease due erythropoetin excess polycythaemia production syndrome,balo concentric sclerosis,0
